as_of_month,age_groups,count
Jan-23,0 - 11 years old,0
Jan-23,12 - 59 years old,0
Jan-23,60 years old and above,12
Feb-23,0 - 11 years old,0
Feb-23,12 - 59 years old,1
Feb-23,60 years old and above,4
Mar-23,0 - 11 years old,0
Mar-23,12 - 59 years old,1
Mar-23,60 years old and above,12
Apr-23,0 - 11 years old,0
Apr-23,12 - 59 years old,1
Apr-23,60 years old and above,53
May-23,0 - 11 years old,0
May-23,12 - 59 years old,4
May-23,60 years old and above,49
Jun-23,0 - 11 years old,0
Jun-23,12 - 59 years old,7
Jun-23,60 years old and above,20
